Title,Text,TextSource,Mode,Melody,MelodySources_OCO,gabc,GB_ID,Occasion,Variant,LHymPage
Adoremus Dominum,Adoremus Dominum qui fecit nos.,"Ps 94,6",E,c egf def efddc de e e edef e egff fe,LHym 180,"(f3)A(e)do(g_i_h_)ré(fgwh)mus(g_h/ffe) Dó(fg)mi(g)num(g.) (,) qui(g_f_gwh) fe(g)cit(gihh) nos.(h.g.) (::) Ve(g/goh)ní(fg)te,(ffe) (::)",0,1-4H5,,180
Agnum Dei quem Ioannes,Agnum Dei quem Ioannes in passione præcessit venite adoremus.,,7,gji j kjklkl lk k kj klmlk lk k i jk kl k j jkljji ghijghggf fh jklkjkl jji h hkji ghg g,LHym 425,"(c3)A(-ehg)gnum(h) De(i_h_iwjij)i,(j.i.) (,) quem(i) Io(ih)án(ijwk_JI~)nes(j_i_) (,) in(i) pas(g)si(hi)ó(ij)ne(i) præ(h)ces(h!ijhhg)sit,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,29/8,,425
Agnum Dei quem lætus,Agnum Dei quem lætus monstravit Ioannes venite adoremus.,,7,gji j kjklkl lk k klmlk k j kl lk j jklj ghijghggf fh jklkjkl jji h hkji ghg g,LHym 384,"(c3)A(-ehg)gnum(h) De(i_h_iwjij)i,(j.i.) (,) quem(i) læ(ijwk_JI)tus(i) mon(h)strá(ij)vit(ji) Io(h)án(h!ijh>)nes,(e_f_!gw_h_e_/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,24/6,,384
Alleluia Christum ascendentem,Alleluia Christum Dominum ascendentem in cælum venite adoremus alleluia.,,5,fhj j jjh jkjlkjijh hi h hi h h h hj j ji hg hijihi ih hij g hij j i j h hij gfgh hggfg gf,CAO 1029; LHym 91,"(c3)Al(d!fh~)le(h)lú(hss/@hf~)ia,(h_i_h_/jvI'HGh_f_) (,) Chri(fg)stum(f) Dó(fg)mi(f)num(f'_) (,) a(f)scen(fh~)dén(h)tem(hg) in(fe~) cæ(fgwh_GFg)lum,(g.f.) (;) ve(fgwh)ní(e)te,(fgwh) ad(h)o(g)ré(h)mus,(f.) (,) al(f!gw!h>)le(evdeof)lú(fe/ede)ia.(e.d.) (::) Ve(h)ní(h)te,(hi/hss/fgf) (::)",0,Asc,,91
Alleluia Christum qui putari,Alleluia Christum Dominum qui putari dignatus est fabri filius venite adoremus alleluia.,,5,fhj j jjh jkjlkjijh hi h hi h h h h h hg h hi h h j ji h hijihi ih hij g hij j i j h hij gfgh hggfg gf,LHym 370,"(c3)Al(d!fh~)le(h)lú(hss/@hf~)ia,(h_i_h_/jvI'HGh_f_) (,) Chri(fg)stum(f) Dó(fg)mi(f)num,(f'_) (,) qui(f) pu(f)tá(f)ri(fe) di(f)gná(fg)tus(f) est(f') (`) fa(h)bri(hg) fí(f)li(fgwh_GFg)us,(g.f.) (;) ve(fgwh)ní(e)te,(fgwh) ad(h)o(g)ré(h)mus,(f.) (,) al(f!gw!h>)le(evdeof)lú(fe/ede)ia.(e.d.) (::) Ve(h)ní(h)te,(hi/hss/fgf) (::)",16424,1/5,,370
Alleluia Spiritus Domini,Alleluia Spiritus Domini replevit orbem terrarum: venite adoremus alleluia.,"Sap 1, 7",5,fhj j jjh jkjlkjijh hi h h hi h h h hi h hij g hij j ih hij g hij j i j h hij gfgh hggfg gf,CAO 1034; LHym 98,"(c3)Al(d!fh~)le(h)lú(hss/@hf~)ia,(h_i_h_/jvI'HGh_f_) (,) Spí(fg)ri(f)tus(f) Dó(fg)mi(f)ni(f'_) (,) re(f)plé(fg)vit(f) or(fgwh>)bem(e) ter(fgwh)rá(h)rum:(g.f.) (;) ve(fgwh)ní(e)te,(fgwh) ad(h)o(g)ré(h)mus,(f.) (,) al(f!gw!h>)le(evdeof)lú(fe/ede)ia.(e.d.) (::) Ve(h)ní(h)te,(hi/hss/fgf) (::)",0,Pent,,98
Christum Dei Filium Mariæ,Christum Dei Filium Mariæ et Ioseph subditum venite adoremus.,,4*,cdef e ef e e e efgfeefded d d dfe fg gh gf gh gf efedd c cdef ed dfe fg ghgfg fe,LHym 27,"(c4)Chri(cdwefv)stum,(e) De(ef)i(e) Fí(e)li(e)um,(e/fgf/eeof/ded.) (,) Ma(d)rí(d)æ(-dfe) et(fg) Io(g_h)seph(gf) súb(gh)di(gf)tum,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Fam,,27
Christum Dei Filium qui suo,Christum Dei Filium qui suo nos redemit sanguine venite adoremus.,,4,d ef feffe dc de e e d dh hg hi h gh g fe de efe efgfe de dc gfghgff de e e,LHym 67,"(c4)Chri(d)stum(ef) De(feffe)i(dc) Fí(de)li(e)um,(e.) (,) qui(d) su(dh)o(hg) nos(hi) red(h)é(gh)mit(g) sán(fe>)gui(de)ne,(efe.) (;) ve(efgvFE)ní(de)te,(d_c_) ad([uh{]g_f_!gh_GFf[uh}])o(de)ré(e.)mus.(e.) (::) Ve(e)ní(g)te,(h::)",0,6Q6,,67
Christum Dominum... tentatum,Christum Dominum pro nobis tentatum et passum venite adoremus.,,4*,c dfd e e efgfeefded d d dfe fg gh g f ghgf efedd c cdef ed dfe fg ghgfg fe,LHym 52,"(c4)Chri(c)stum(-dfd~) Dó(e)mi(e)num(e/fgf/eeof/ded.) (,) pro(d) no(d)bis(-dfe) ten(fg)tá(g_h)tum(g') et(f) pas(ghGF)sum,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Q,,52
Christum Dominum... passum,Christum Dominum pro nobis passum et sepultum venite adoremus.,,4*,c dfd e e efgfeefded d dfe fg gh g g f ghgf efedd c cdef ed dfe fg ghgfg fe,LHym 69,"(c4)Chri(c)stum(-dfd~) Dó(e)mi(e)num(e/fgf/eeof/ded.) (,) pro(d) no(-dfe)bis(fg) pas(g_h)sum(g') et(g) se(f)púl(ghGF)tum,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,6Q7,,69
Christum Dominum qui dilexit,Christum Dominum qui dilexit Ecclesiam venite adoremus.,"cf. Eph 5,25",4*,c dfd e e efgfeefded dfe fg gh g f gh gf efedd c cdef ed dfe fg ghgfg fe,LHym 249,"(c4)Chri(c)stum(-dfd~) Dó(e)mi(e)num,(e/fgf/eeof/ded.) (,) qui(-dfe) di(fg)lé(g_h)xit(g') Ec(f)clé(gh)si(gf)am,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Ded,,249
- cum alleluia,Christum Dominum qui dilexit Ecclesiam venite adoremus alleluia.,"cf. Eph 5,25",6*,ffg f fg f f f f f f gh h gf f f g fd f gh ihig gf fgh ghffed fghgh gf,LHym 249,"(c4)Chri(f_0fg)stum(f) Dó(fg)mi(f)num,(f') qui(f) di(f)lé(f)xit(f) Ec(gh)clé(h)si(gf)am,(f.) (,) ve(f)ní(g)te,(fd) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(fgwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Ded TP,,249
Christum Dominum qui Sanctum,Christum Dominum qui Sanctum nobis promisit Spiritum venite adoremus alleluia.,,6*,ffg f fg f f f f f f f f f gh h gf f f g fe f gh ihig gf fgh ghffed fghgh gf,LHym 92,"(c4)Chri(f_0fg)stum(f) Dó(fg)mi(f)num,(f.) (,) qui(f) San(f)ctum(f) no(f)bis(f) pro(f)mí(f)sit(gh) Spí(h)ri(gf)tum,(f.) (,) ve(f)ní(g)te,(fe) ad(f)o(g_h)ré(ixh_i_g_)mus,(g.f.) (;) al(f!gw!h>)le(ghffvED)lú(f!gwhgh>)ia.(g.f.) (::) Ve(f_h)ní(j)te,(j) (::)",0,Tp post Asc,,92
Christum Filium dilectum,Christum Filium dilectum in quo Pater sibi complacuit venite adoremus,"ef. Mt 3,17",7,ghijihi hg gh g g ghj jijkjkl k k kj klmlkl lk k ki j jijk hg ghijghggf fh jklkjkl jji h hkji ghg g,LHym 44,"(c3)Chri(e_f!gwhGFg)stum,(f_e_) (,) Fí(ef)li(e)um(e) di(efoh)lé(hvg!hihijv)ctum,(i.) (,) in(i) quo(ih) Pa(ijwkJIj)ter(j_i_) (,) si(i)bi(ig) com(h)plá(hg/hoi)cu(fe)it,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus,(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,Bapt,,44
Christum Mariæ,Christum Mariæ filium venite adoremus.,,5,h f hj j jh hjkjkj ijih hijigfghhg f ghgh hijijkj hhg gh hgfefgfg gf,LHym 254,"(c3)Chri(f)stum,(d) Ma(fh)rí(h)æ(h_f_) fí(f_h/ihih)li(g_hGF)um,(fgwh_GEdefvfe.) (:) ve(d)ní(-efef)te,(fgwhg/hih) ad(ffe)o(e_f)ré(fvEDCdwede)mus.(e.d.) (::) Ve(h)ní(h)te,(hi/hssfgf) (::)",0,BMV,,254
