Title,Text,TextSource,Mode,Melody,MelodySources_OCO,MelodySource_Verona,gabc,GB_ID,Occasion,Office
A solis ortu,A solis ortu usque ad occasum * Laudabile nomen Domini. ℣ Super cælos gloria eius.,"Ps 112,3.4",6,f f f g f f fg g gf g gh g f g h gfd fg g f f,cf. CAO 6005; ARII 465,"Antiphonae & Responsoria/Tomus III, p. 127","(c4)A(f) so(f)lis(f) or(g)tu(f) us(f)que(fg) ad(g) oc(gf)cá(g)sum,(gh) <v>\greheightstar</v>(;) Lau(g)dá(f)bi(g)le(h) no(gvFD)men(fg) Dó(g)mi(f)ni.(f)  <sp>V/</sp>(::) Su(h)per(h) cæ(ixhi)los(g) (,) gló(g)ri(g)a(gf) e(g)ius.(gh)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,2.4H1,1V
Adimplebis me,Adimplebis me lætitia * Cum vultu tuo Domine. ℣ Delectationes in dextera tua usque in finem.,"Ps 15,10",6,f f g f f f g gh h g f gh gf g g f f,PM 322,"Antiphonae & Responsoria/Tomus III, p. 129","(c4)Ad(f)im(f)plé(g)bis(f) me(f) læ(f)tí(g)ti(gh)a(h) <v>\greheightstar</v>(;) Cum(g) vul(f)tu(gh) tu(gf)o,(g) Dó(g)mi(f)ne.(f)  <sp>V/</sp>(::) De(f)le(f)cta(f)ti(f)ó(f)nes(f) in(f) déx(f)te(f)ra(f) tu(g)a(f) (,) us(f)que(f) in(f) fi(gh)nem.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H3,V
Adiuvabit eam,Adiuvabit eam * Deus vultu suo. ℣ Deus in medio eius non commovebitur.,"Ps 45,6",6,f f g f gh hg f gh gf g g f,CAO 6042; AM 676,"Antiphonae & Responsoria/Tomus IV, p. 259","(c4)Ad(f)iu(f)vá(g)bit(f) e(gh)am(hg) <v>\greheightstar</v>(;) De(f)us(gh) vul(gf)tu(g) su(g)o.(f)  <sp>V/</sp>(::) De(ixhi)us(h) in(h) mé(h)di(h)o(g) e(gh)ius,(g) (,) non(g) com(g)mo(f)vé(g)bi(gh)tur.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Mul,L
Adiuvabit eam,Adiuvabit eam * Deus vultu suo. ℣ Deus in medio eius non commovebitur.,"Ps 45,6",6,f f g f gh hg f gh gf g g f,CAO 6042; AM 676,"Antiphonae & Responsoria/Tomus IV, p. 259","(c4)Ad(f)iu(f)vá(g)bit(f) e(gh)am(hg) <v>\greheightstar</v>(;) De(f)us(gh) vul(gf)tu(g) su(g)o.(f)  <sp>V/</sp>(::) De(ixhi)us(h) in(h) mé(h)di(h)o(g) e(gh)ius,(g) (,) non(g) com(g)mo(f)vé(g)bi(gh)tur.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,21/1,L
Adiuvabit eam... all.,Adiuvabit eam Deus vultu suo * Alleluia alleluia. ℣ Deus in medio eius non commovebitur.,,6,f f f f g f f f f e g h h hg g f d fg g f,,"Antiphonale Prataliense/Tomus II, p. 545","(c4)Ad(f)iu(f)vá(f)bit(f) e(g)am(f) (,) De(f)us(f) vul(f)tu(e) su(g)o,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) De(d)us(f) in(f) mé(f)di(f)o(f) e(g)ius,(f) (,) non(f) com(f)mo(e)vé(g)bi(g)tur.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Mul TP,L
Adorabunt eum,Adorabunt eum * Omnes reges terræ. ℣ Omnes gentes servient ei.,"Ps 71,11",6,f f g f gh hg f gh gf g g f,CAO 6044,"Antiphonae & Responsoria/Tomus I, p. 125","(c4)Ad(f)o(f)rá(g)bunt(f) e(gh)um(hg) <v>\greheightstar</v>(;) Om(f)nes(gh) re(gf)ges(g) ter(g)ræ.(f)  <sp>V/</sp>(::) Om(h)nes(h) gen(ixhi)tes(g) sér(h)vi(g)ent(f) e(gh)i.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Ep,L
Adoramus te 1,Adoramus te Christe * Et benedicimus tibi. ℣ Quia per crucem tuam redemisti mundum.,,4,g g g e fe de e e e f d c df fgfe e,CAO 6045; ARII 178-179,"Antiphonae & Responsoria/Tomus II, p. 104","(c4)A(g)do(g)rá(g)mus(e) te,(fe) Chri(de)ste,(e) <v>\greheightstar</v>(;) Et(e) be(e)ne(f)dí(d)ci(c)mus(df) ti(fgFE)bi.(e)  <sp>V/</sp>(::) Qui(ixehiv)a(h) per(g) cru(g)cem(g) tu(gh)am(g) (,) red(g)e(h)mí(gf)sti(de) mun(efwgFE~)dum.(e)  <sp>V/</sp>(::) Gló(ixehiv)ri(h)a(g) Pa(g)tri(g) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(gf)i(de) San(efwgFE~)cto.(e) (::)",0,6Q1-4,V
Adoramus te 2,Adoramus te Christe * Et benedicimus tibi. ℣ Quia per crucem tuam redemisti mundum.,,6,f f g f f gh h g f gh g f g g f,CAO 6045; ARII 178-179,Calithes.it,"(c4)Ad(f)o(f)rá(g)mus(f) te,(f) Chri(gh)ste,(h) <v>\greheightstar</v>(;) Et(g) be(f)ne(gh)dí(g)ci(f)mus(g) ti(g)bi.(f)  <sp>V/</sp>(::) Qui(ixhi)a(h) per(h) cru(h)cem(g) tu(gh)am(g) (,) re(g)de(g)mí(g)sti(f) mun(gh~)dum.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(f) San(g)cto.(gh) (::)",0,14/9,L
Adorate Dominum,Adorate Dominum * In aula sancta eius. ℣ Afferte Domino gloriam et honorem.,"Ps 28,2",6,f f g f g gh h g f gh gf g g f,cf. CAO 6047; AR 272,Calithes.it,"(c4)Ad(f)o(f)rá(g)te(f) Dó(g)mi(gh)num(h) <v>\greheightstar</v>(;) In(g) au(f)la(gh) san(gf~)cta(g) e(g)ius.(f)  <sp>V/</sp>(::) Af(h)fér(h)te(h) Dó(ixhi)mi(g)no(g) (,) gló(h)ri(g)am(g) et(g) ho(f)nó(gh)rem.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(f) San(g)cto.(gh) (::)",0,2/2,L
Afferentur regi,Afferentur Regi virgines * In exsultatione. ℣ Adducentur in templum Regis.,"Ps 44,15.16",6,f f f f g f g gh hg f g h gf g g f,,,"(c4)Af(f)fe(f)rén(f)tur(f) Re(g)gi(f) vír(g)gi(gh)nes(hg) <v>\greheightstar</v>(;) In(f) ex(g)sul(h)ta(gf)ti(g)ó(g)ne.(f)  <sp>V/</sp>(::) Ad(h)du(h)cén(ixhi)tur(g) in(g) tem(g)plum(f) Re(gh)gis.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Virg,2V
